笔记名称,笔记链接,发布日期,观看量,评论数,点赞量,分享数,收藏数,直接涨粉数,标签,类别
Marketing Data Scientist 必须掌握的知识,https://www.xiaohongshu.com/explore/65361e780000000023039784,10/23/2023,612,0,3,0,2,3,,干货分享
休斯顿数据科学家线下交流会,https://www.xiaohongshu.com/explore/653680340000000025016981,10/23/2023,2102,5,19,10,7,14,,线下交流会
备战春招必看！数据科学一站式训练营推荐,https://www.xiaohongshu.com/explore/65376e50000000002202f457,10/24/2023,511,0,1,0,0,0,,报名截止日期
入职美国银行业 DS 半年，我都学到了什么？,https://www.xiaohongshu.com/explore/6538d293000000002500a2b6,10/25/2023,871,1,3,0,5,1,,经验分享
DS 线下交流会！休斯顿地区的同学看过来！,https://www.xiaohongshu.com/explore/653b5a560000000023039f71,10/27/2023,542,0,0,0,0,0,,线下交流会
最后10天！数据科学求职训练营,https://www.xiaohongshu.com/explore/653b737e000000002202f473,10/28/2023,507,0,2,0,0,0,,报名截止日期
DS求职推荐!数据科学训练营在线答疑会,https://www.xiaohongshu.com/explore/653f66500000000004038c30,10/23/2023,547,0,0,1,1,0,,课程直播预告
北美 DS 薪资大揭秘！跟你想象中的一样吗？,https://www.xiaohongshu.com/explore/6540b2d000000000250088f3,10/31/2023,1112,0,2,1,3,0,,干货分享
即将截止！休斯顿数据科学家线下交流会,https://www.xiaohongshu.com/explore/6541e47f000000002303af6f,11/01/2023,895,0,4,3,1,2,,线下交流会
Marketing Data Scientist 必备！,https://www.xiaohongshu.com/explore/65435bf30000000025014253,11/02/2023,713,0,11,4,8,2,,干货分享
正在同步直播！休斯顿数据科学家线下交流会,https://www.xiaohongshu.com/explore/65449161000000002201e53e,11/04/2023,580,0,1,0,0,1,,线下交流会
早鸟票最后3天！DS训练营在线答疑会预告,https://www.xiaohongshu.com/explore/654496c20000000025020ff7,11/04/2023,539,0,2,0,1,0,,课程直播预告
正在直播：数据科学训练营在线答疑会,https://www.xiaohongshu.com/explore/65449281000000002303a4fb,11/05/2023,512,0,1,2,0,0,,直播通知
早鸟票最后1天！数据科学一站式训练营,https://www.xiaohongshu.com/explore/65489ee1000000002201c383,11/06/2023,588,0,0,1,1,2,,报名截止日期
推荐系统队伍如何和业务部门合作？,https://www.xiaohongshu.com/explore/654b283e0000000032032a62,11/08/2023,548,0,0,0,0,0,,干货分享
生物博士后转行数据科学，常见求职Q&A分享,https://www.xiaohongshu.com/explore/654ca36d000000003300930a,11/09/2023,624,0,0,0,1,0,,干货分享
DS宝藏网站推荐！面试求职一网打尽！,https://www.xiaohongshu.com/explore/654df616000000000f028bf2,11/11/2023,545,0,3,0,1,0,,干货分享
Data Engineer 是否需要掌握 Hadoop？,https://www.xiaohongshu.com/explore/6551e636000000003202df33,11/13/2023,615,0,2,0,0,0,,干货分享
北美NG data上岸攻略!一站式保offer训练营,https://www.xiaohongshu.com/explore/65533973000000000f028d54,11/14/2023,611,2,0,0,0,0,,报名截止日期
生物工程博士6个月转行成通信行业 DS,https://www.xiaohongshu.com/explore/6554c41f0000000032034c31,11/15/2023,774,0,3,1,3,0,,经验分享直播预告
5个月拿下4个DS offer，快速上岸诀窍有哪些,https://www.xiaohongshu.com/explore/6555d2ff000000003202c3bf,11/16/2023,683,0,1,0,1,1,,干货分享
北美data求职：为什么简历总是过不了 HR 轮,https://www.xiaohongshu.com/explore/65570dc8000000000f028410,11/18/2023,564,0,1,1,0,0,,干货分享
生物工程博士6个月转行成通信行业 DS,https://www.xiaohongshu.com/explore/6556c9030000000033007243,11/19/2023,548,0,0,1,0,1,,经验分享直播预告
报名最后1天！你离上岸DS最近的一步!,https://www.xiaohongshu.com/explore/655b2196000000003202ca5b,11/20/2023,632,0,0,0,0,1,,报名截止日期
Data Engineer 都要掌握哪些工具？,https://www.xiaohongshu.com/explore/655c6f6100000000330067fc,11/21/2023,849,0,8,0,14,2,,干货分享
生物博士成功上岸 DS，实用面经分享!,https://www.xiaohongshu.com/explore/655dc09b000000003202f16b,11/22/2023,639,0,0,0,2,0,,经验分享
北美留子看过来！带你零基础上岸数据分析！,https://www.xiaohongshu.com/explore/656051d10000000033002ab0,11/25/2023,571,0,1,0,1,0,,干货分享
Machine Learning Engineer 都做什么工作？,https://www.xiaohongshu.com/explore/65644f7e00000000320396a6,11/27/2023,920,0,6,2,8,3,,干货分享
生物工程博士转行 DS ，我后悔了吗？,https://www.xiaohongshu.com/explore/6565b1a8000000003300a565,11/28/2023,1068,0,1,0,1,0,,经验分享
北京线下讲座：人工智能的应对与挑战,https://www.xiaohongshu.com/explore/6566aedf000000000f025471,11/28/2023,925,0,5,2,2,3,,线下交流会
8年全职妈妈，6个月重返职场成为数据分析师,https://www.xiaohongshu.com/explore/656d670f0000000005038261,12/04/2023,797,0,2,1,1,2,,经验分享直播预告
原来这才是全职妈妈重返职场的第一道难关,https://www.xiaohongshu.com/explore/656edb000000000007008661,12/05/2023,612,0,2,0,1,1,,经验分享
MachineLearning Engineer日常都做什么工作,https://www.xiaohongshu.com/explore/6570296f000000000801e20e,12/06/2023,707,0,1,0,2,1,,干货分享
应届博士上岸银行 DS，我做了哪些准备,https://www.xiaohongshu.com/explore/65727edc000000000703b18e,12/07/2023,736,0,1,1,0,0,,经验分享
8年全职妈妈，6个月重返职场成为数据分析师,https://www.xiaohongshu.com/explore/6572db49000000000901c9df,12/10/2023,578,0,1,1,1,1,,直播通知
土木工程博士6个月转行成金融科技行业 DS,https://www.xiaohongshu.com/explore/65781d82000000000801c0fa,12/12/2023,633,0,1,1,1,0,,经验分享直播预告
"当面试官问为什么gap 8年时,如何高情商回答",https://www.xiaohongshu.com/explore/65796d160000000007039da9,12/13/2023,663,0,1,0,1,0,,经验分享
北美 NG 零基础友好! 5个月带你入门 DS,https://www.xiaohongshu.com/explore/657aa912000000000801ca3b,12/14/2023,644,2,5,4,2,0,,课程宣传
土木工程博士6个月转行成金融科技行业 DS,https://www.xiaohongshu.com/explore/657c07340000000007039c6d,12/17/2023,616,0,1,2,0,1,,直播通知
编程小白救星!零基础入门 Python 课程推荐,https://www.xiaohongshu.com/explore/658160770000000009027df8,12/19/2023,557,0,0,0,0,0,,课程宣传
4个月上岸金融科技行业 DS，我是这样求职的,https://www.xiaohongshu.com/explore/6582ad38000000000902074c,12/20/2023,601,0,0,1,1,0,,经验分享
美国休斯顿大学健康医学 DS 课题组招人啦！,https://www.xiaohongshu.com/explore/6584ee16000000000602019a,12/21/2023,1008,0,14,9,12,5,,其他
零基础3个月转行数据分析真的太香啦！,https://www.xiaohongshu.com/explore/65854bcf00000000090211b9,12/22/2023,576,0,1,1,1,0,,课程宣传
我如何克服面试恐惧症，成功拿下 DA offer,https://www.xiaohongshu.com/explore/6589448c000000001200b551,12/25/2023,570,0,0,0,0,0,,经验分享
课程真实反馈，零基础如何入门 python？,https://www.xiaohongshu.com/explore/658bcc21000000000f03149f,12/27/2023,540,0,0,0,0,1,,课程宣传
6个月转成金融业 DS，上岸感受分享,https://www.xiaohongshu.com/explore/658d3f1b000000000f0316c2,12/28/2023,653,0,1,1,1,1,,经验分享
直播预告：数据分析训练营答疑会,https://www.xiaohongshu.com/explore/658e639e000000000f032c4c,12/29/2023,547,0,0,1,0,0,,课程直播预告
免费试听！想入门Python的零基础小白有福了,https://www.xiaohongshu.com/explore/6593c3c20000000012006203,01/02/2024,521,2,0,0,0,0,,课程宣传
北美应届毕业生找工作为什么这么难？,https://www.xiaohongshu.com/explore/65952688000000000f01352f,01/03/2024,550,0,1,0,0,0,,干货分享
DA Camp 正在报名中！本周日将在线答疑,https://www.xiaohongshu.com/explore/65966ac8000000000f01e51a,01/04/2024,499,0,0,0,0,1,,课程直播预告
最后10天！带你零基础转行数据分析,https://www.xiaohongshu.com/explore/6597a0750000000010011c69,01/06/2024,502,0,1,2,0,1,,报名截止日期
正在直播！数据分析训练营在线答疑会,https://www.xiaohongshu.com/explore/6597a123000000000f01d962,01/07/2024,456,0,0,1,0,0,,直播通知
刷到这篇说明你离上岸 DA 不远了！,https://www.xiaohongshu.com/explore/659d0def000000001200a9ae,01/09/2024,517,0,2,1,0,0,,报名截止日期
就在本周！湾区线下 DS 活动,https://www.xiaohongshu.com/explore/659cfc230000000012007701,01/09/2024,859,2,11,6,2,2,,线下交流会
北美应届毕业生都有哪些求职误区？,https://www.xiaohongshu.com/explore/659e64c90000000012006ce5,01/10/2024,508,0,0,0,0,0,,干货分享
本周末 DS 线下交流会！湾区的同学看过来！,https://www.xiaohongshu.com/explore/659fa0e1000000000f0335c4,01/11/2024,621,0,1,1,0,1,,线下交流会
报名即将截止！本周末湾区 DS 线下交流活动,https://www.xiaohongshu.com/explore/65a0f590000000001200981b,01/12/2024,534,0,0,1,0,1,,线下交流会
目标春招！这是你离成为 DA 最近的一步,https://www.xiaohongshu.com/explore/65a0f6a00000000013035f12,01/13/2024,409,0,0,0,0,0,,报名截止日期
正在同步直播！湾区数据科学家线下交流会！,https://www.xiaohongshu.com/explore/65a0f77b00000000120056d9,01/14/2024,526,0,0,2,0,3,,直播通知
想冲刺春招的同学别错过！带你零基础转行DA,https://www.xiaohongshu.com/explore/65a4d4120000000012004a6b,01/15/2024,423,0,0,0,1,2,,报名截止日期
春招在即，应届生一定要做好这些求职准备！,https://www.xiaohongshu.com/explore/65a630cf000000002802340f,01/16/2023,400,0,0,0,0,0,,干货分享
直播答疑预告：北美数据科学求职,https://www.xiaohongshu.com/explore/65a73ac30000000028021c91,01/16/2024,467,0,0,0,0,0,,周三直播预告
