笔记名称,笔记链接,发布日期,观看量,评论数,点赞量,分享数,收藏数,直接涨粉数,标签,类别
总结 data 岗求职失败的主要原因,https://www.xiaohongshu.com/explore/647863490000000014027f0a,06/01/2023,1365,0,12,2,7,6,#不懂就问有问必答 #北美data求职 #求职经验侃侃谈 #北美求职 #数据科学 #留学生求职 #职场妈妈带娃记 #应届生求职 #求职误区 #大厂求职 #Techlent转行数据科学,干货分享
本周日，和新泽西当地的数据科学家面对面,https://www.xiaohongshu.com/explore/6479a0740000000011012019,06/02/2023,1546,10,8,5,5,8,#不懂就问有问必答 #新泽西生活 #数据科学 #北美求职 #北美data求职 #求职经验侃侃谈 #转行数据科学家 #数据科学家工资 #北美线下 #美国线下 #Techlent转行数据科学,线下交流会
正在直播：新泽西线下活动,https://www.xiaohongshu.com/explore/6479ab8e0000000013015e64,06/04/2023,730,0,4,2,0,1,#不懂就问有问必答 #数据科学 #新泽西 #新泽西生活 #北美求职 #线下活动 #北美data求职 #线下交流会 #直播 #北美线下 #Techlent转行数据科学,直播预告
学位对 DS 求职的影响大吗,https://www.xiaohongshu.com/explore/647f03a7000000001303238f,06/06/2023,1237,0,6,0,3,2,N/A,经验分享
8年亚马逊MLE Manager手把手教你搭建ML系统,N/A,06/07/2023,791,0,2,0,2,1,N/A,课程宣传
5月北美数据科学岗位有何变化,https://www.xiaohongshu.com/explore/648191d6000000001300d4a8,06/08/2023,979,0,2,0,1,4,#听说大家很会选offer #数据科学 #北美data求职 #北美data #DataScientist #dataanalyst #DataEngineer #mle #machinelearning #datascience #数据分析岗位 #大数据岗位 #Techlent转行数据科学,干货分享
新手如何学习自然语言处理？传统NLP vs DL,https://www.xiaohongshu.com/explore/6482f2bf000000001300ce2f,06/09/2023,862,0,6,1,5,1,#不懂就问有问必答 #NLP #数据科学 #自然语言处理 #NLP自然语言处理 #Deeplearning #知识科普 #Techlent转行数据科学,干货分享
Data Scientist面试常见误区总结,https://www.xiaohongshu.com/explore/6486e8830000000013013520,06/12/2023,914,0,6,0,8,1,#不懂就问有问必答 #面试技巧 #北美data求职 #求职经验侃侃谈 #面试有秘招 #数据科学 #DS #DataScience #DataScientist,干货分享
4年全职妈妈如何重返职场成为 Data Analyst,https://www.xiaohongshu.com/explore/648915280000000027028b60,06/13/2023,1103,0,2,1,3,4,#我的转行初体验 #数据分析 #北美data #北美data求职#全职妈妈重返职场 #职场妈妈 #dataanalyst #数据分析求职 #数据分析我在行 #Techlent转行数据科学,经验分享直播预告
什么是推荐系统？,https://www.xiaohongshu.com/explore/648adc5300000000120323f6,06/15/2023,941,0,3,0,7,1,#不懂就问有问必答 #推荐系统 #数据科学 #recommend #relevancy #北美data求职 #知识科普 #recommend system#Techlent转行数据科学,干货分享
千呼万唤始出来：Python 零基础入门课程！,https://www.xiaohongshu.com/explore/648c201c000000001300dacf,06/16/2023,769,0,3,0,1,0,#找工作别走弯路 #Python #北美data求职 #Python入门学习 #嗨翻python #零基础学Python #Python教程 #北美求职 #Techlent转行数据科学,课程宣传
4年全职妈妈如何重返职场成为 Data Analyst,https://www.xiaohongshu.com/explore/648c1a120000000013009946,06/18/2023,658,0,1,2,0,1,#我的转行初体验 #求职经验侃侃谈 #全职妈妈 #数据科学 #北美data求职 #职场干货 #找工作 #Techlent转行数据科学,直播通知
开始报名！零基础 Python 入门直播课,https://www.xiaohongshu.com/explore/64901f3c00000000130339a9,06/19/2023,676,0,0,1,1,1,#找工作别走弯路 #python学习 #Python入门学习 #Python #编程 #北美求职 #数据科学 #Techlent转行数据科学,课程宣传
全职娃妈重返职场成为 Healthcare DS,https://www.xiaohongshu.com/explore/649806ff00000000130315e8,06/20/2023,1015,0,5,1,3,4,#我的转行初体验 #数据科学 #化学 #北美求职 #职场干货 #全职妈妈 #初入职场的我们 #healthcare #北美data求职 #Techlent转行数据科学,直播通知
4年全职妈妈上岸DA求职经验教训分享,https://www.xiaohongshu.com/explore/6492c3dd000000001203158f,06/21/2023,923,0,4,0,2,1,#我的转行初体验 #全职妈妈 #数据分析 #北美求职 #经验分享 #职业规划 #职场日常 #全职妈妈的一天 #面试有秘招 #面试技巧 #Techlent转行数据科学,经验分享
澳洲土木硕士转行 DA 上岸经验分享,https://www.xiaohongshu.com/explore/64980c97000000000703b192,06/25/2023,822,0,0,0,1,0,#我的转行初体验 #土木工程 #澳洲硕士 #求职经验侃侃谈 #面试有秘招 #北美求职 #dataanalyst #DA #Techlent转行数据科学,经验分享
全职娃妈重返职场成为 Healthcare 行业 DS,https://www.xiaohongshu.com/explore/649806ff00000000130315e8,06/25/2023,1008,0,3,1,1,1,#我的转行初体验 #数据科学 #化学 #北美求职 #职场干货 #全职妈妈 #初入职场的我们 #healthcare #北美data求职 #Techlent转行数据科学,经验分享
全职娃妈重返职场会遇到哪些困难？如何克服,https://www.xiaohongshu.com/explore/649ab446000000001203206c,06/27/2023,793,0,3,0,0,0,#我的转行初体验 #全职妈妈 #全职妈妈那些事 #职业规划 #全职妈妈重返职场 #北美求职 #妈妈经验分享 #Techlent转行数据科学,经验分享直播预告
推荐系统在广告行业的应用有哪些？,https://www.xiaohongshu.com/explore/649d522b000000000800d9e4,06/29/2023,649,0,1,0,1,0,#不懂就问有问必答 #知识科普 #推荐系统 #广告投放 #广告 #数据科学 #数据科学与大数据技术 #Techlent转行数据科学,干货分享
零基础5个月轻松上岸DS，只需要…,https://www.xiaohongshu.com/explore/649e8997000000000800f17d,06/30/2023,748,0,2,0,5,1,#不懂就问有问必答 #上岸 #机器学习 #数据科学 #datascience #machinelearning #北美求职 #北美data求职 #Techlent转行数据科学,课程宣传
新手如何入门推荐系统？,https://www.xiaohongshu.com/explore/64a3ea6b000000001c00fe1f,07/04/2023,717,0,3,1,3,1,#不懂就问有问必答 #北美求职 #推荐系统 #新手入门 #转行 #Python #ETL #sql #行业知识 #北美data求职 #Techlent转行数据科学,干货分享
物理博士如何从中国讲师转行成为澳洲DS,https://www.xiaohongshu.com/explore/64a76a840000000012013e66,07/06/2023,777,0,1,1,0,1,#我的转行初体验#澳洲求职 #物理博士 #datascience #数据科学 #转行 #转行数据科学家 #Techlent转行数据科学, 经验分享直播预告
全职娃妈Gap4年重返职场上岸DS如何避免弯路,https://www.xiaohongshu.com/explore/64a7c008000000002f02417c,07/07/2023,720,0,1,0,0,1,#我的转行初体验 #初入职场的我们 #全职妈妈 #全职宝妈 #全职妈妈那些事 #北美求职 #Gap #转行 #Techlent转行数据科学,经验分享
物理博士如何从中国讲师转行成为澳洲DS,https://www.xiaohongshu.com/explore/64a76f69000000002f029c40,07/08/2023,582,0,0,1,0,1,#我的转行初体验 #澳洲求职 #物理博士 #数据科学 #datascience #转行 #讲师 #Techlent转行数据科学,直播通知
北美数据科学干货：内推真的有用吗？,https://www.xiaohongshu.com/explore/64ad189f0000000023035468,07/11/2023,929,0,2,0,1,1,#不懂就问有问必答 #内推 #北美求职 #职场干货 #数据科学 #北美data求职 #Techlent转行数据科学,干货分享
新手零基础上岸 Data Analyst，别错过这篇,https://www.xiaohongshu.com/explore/64ae6d42000000002f028a26,07/12/2023,973,4,2,2,6,3,#找工作别走弯路 #数据分析 #北美求职 #上岸 #dataanalyst #DA #北美data求职 #找工作 #Techlent转行数据科学,课程宣传
辞掉中国高校讲师上岸澳洲DS，跨国转行感悟,https://www.xiaohongshu.com/explore/64b117d8000000001002b62d,07/14/2023,779,0,4,1,3,1,#我的转行初体验 #求职经验侃侃谈 #留学澳洲 #澳洲求职 #高校教师 #讲师#数据科学 #转行做什么 #职业规划 #澳洲生活 #datascience #Techlent转行数据科学,经验分享
Data打工人呕血整理：澳洲数据科学岗位特点,https://www.xiaohongshu.com/explore/64b50da900000000340176e1,07/17/2023,902,0,7,3,8,3,#不懂就问有问必答 #澳洲求职 #留学澳洲 #澳洲留学生 #澳洲生活 #数据科学 #数据分析#datascience #dataanalyst #Techlent转行数据科学,干货分享
BERT和GPT的出现NLP技术研究和应用的影响,https://www.xiaohongshu.com/explore/64b7a648000000001002ac7a,07/19/2023,758,0,0,0,1,1,#不懂就问有问必答 #Gpt #chatgpt #NLP #BERT #知识科普 #数据科学 #Techlent转行数据科学,干货分享
